Name,NameExpression,DescriptionExpression,IndexOid,IndicatorName,IndicatorDescription,Format,DataUnits,SyntheticExpression,Expression,MaxValueExpression
32-bit Memory (Checkpoint),`32-bit Memory[INDEX]`,'32-bit Memory',.1.3.6.1.4.1.2620.1.6.7.1.1,memActiveReal,Active Real Memory,GAUGE,Bytes,,.1.3.6.1.4.1.2620.1.6.7.1.4,
32-bit Memory (Checkpoint),`32-bit Memory[INDEX]`,'32-bit Memory',.1.3.6.1.4.1.2620.1.6.7.1.1,memActiveVirtual,Active Virtual Memory,GAUGE,Bytes,,.1.3.6.1.4.1.2620.1.6.7.1.2,
32-bit Memory (Checkpoint),`32-bit Memory[INDEX]`,'32-bit Memory',.1.3.6.1.4.1.2620.1.6.7.1.1,memFreeReal,Free Real Memory,GAUGE,Bytes,,.1.3.6.1.4.1.2620.1.6.7.1.5,
32-bit Memory (Checkpoint),`32-bit Memory[INDEX]`,'32-bit Memory',.1.3.6.1.4.1.2620.1.6.7.1.1,s1_usedMemoryUtilization,Used Memory Utilization,GAUGE,Percent,( ( ${memActiveReal} - ${memFreeReal} ) * 100 ) / ${memActiveReal},,
64-bit Memory (Checkpoint),`64-bit Memory[INDEX]`,'64-bit Memory',.1.3.6.1.4.1.2620.1.6.7.4.1,memActiveReal64,Active Real Memory,GAUGE,Bytes,,.1.3.6.1.4.1.2620.1.6.7.1.4,
64-bit Memory (Checkpoint),`64-bit Memory[INDEX]`,'64-bit Memory',.1.3.6.1.4.1.2620.1.6.7.4.1,memActiveVirtual64,Active Virtual Memory,GAUGE,Bytes,,.1.3.6.1.4.1.2620.1.6.7.1.2,
64-bit Memory (Checkpoint),`64-bit Memory[INDEX]`,'64-bit Memory',.1.3.6.1.4.1.2620.1.6.7.4.1,memFreeReal64,Free Real Memory,GAUGE,Bytes,,.1.3.6.1.4.1.2620.1.6.7.1.5,
64-bit Memory (Checkpoint),`64-bit Memory[INDEX]`,'64-bit Memory',.1.3.6.1.4.1.2620.1.6.7.4.1,s1_usedMemoryUtilizations,Used Memory Utilization,GAUGE,Percent,( ( ${memActiveReal64} - ${memFreeReal64} ) * 100 ) / ${memActiveReal64},,
80211 (Meru Wireless),.1.3.6.1.4.1.15983.1.1.3.1.1.1.4' - Node ID '.1.3.6.1.4.1.15983.1.1.3.1.1.1.3,'80211',.1.3.6.1.4.1.15983.1.1.3.1.1.1.4,mwIf80211StatsFailedCount,Failed Count,GAUGE,Number,,.1.3.6.1.4.1.15983.1.1.3.1.1.1.7,
80211 (Meru Wireless),.1.3.6.1.4.1.15983.1.1.3.1.1.1.4' - Node ID '.1.3.6.1.4.1.15983.1.1.3.1.1.1.3,'80211',.1.3.6.1.4.1.15983.1.1.3.1.1.1.4,mwIf80211StatsFcsErrorCount,FCS Error Count,COUNTER32,Number,,.1.3.6.1.4.1.15983.1.1.3.1.1.1.19,
80211 (Meru Wireless),.1.3.6.1.4.1.15983.1.1.3.1.1.1.4' - Node ID '.1.3.6.1.4.1.15983.1.1.3.1.1.1.3,'80211',.1.3.6.1.4.1.15983.1.1.3.1.1.1.4,mwIf80211StatsFrameDupCount,Frame Duplicate Count,COUNTER32,Number,,.1.3.6.1.4.1.15983.1.1.3.1.1.1.18,
80211 (Meru Wireless),.1.3.6.1.4.1.15983.1.1.3.1.1.1.4' - Node ID '.1.3.6.1.4.1.15983.1.1.3.1.1.1.3,'80211',.1.3.6.1.4.1.15983.1.1.3.1.1.1.4,mwIf80211StatsIfRetryCount,Retry Count,COUNTER32,Number,,.1.3.6.1.4.1.15983.1.1.3.1.1.1.11,
80211 (Meru Wireless),.1.3.6.1.4.1.15983.1.1.3.1.1.1.4' - Node ID '.1.3.6.1.4.1.15983.1.1.3.1.1.1.3,'80211',.1.3.6.1.4.1.15983.1.1.3.1.1.1.4,mwIf80211StatsLossPercentage,Loss Percentage,GAUGE,Percent,,.1.3.6.1.4.1.15983.1.1.3.1.1.1.21,100
80211 (Meru Wireless),.1.3.6.1.4.1.15983.1.1.3.1.1.1.4' - Node ID '.1.3.6.1.4.1.15983.1.1.3.1.1.1.3,'80211',.1.3.6.1.4.1.15983.1.1.3.1.1.1.4,mwIf80211StatsNoiseLevel,Noise Level,GAUGE,Decibels,,.1.3.6.1.4.1.15983.1.1.3.1.1.1.6,
80211 (Meru Wireless),.1.3.6.1.4.1.15983.1.1.3.1.1.1.4' - Node ID '.1.3.6.1.4.1.15983.1.1.3.1.1.1.3,'80211',.1.3.6.1.4.1.15983.1.1.3.1.1.1.4,mwIf80211StatsPlcpErrorCount,PLCP Error Count,COUNTER32,Number,,.1.3.6.1.4.1.15983.1.1.3.1.1.1.20,
80211 (Meru Wireless),.1.3.6.1.4.1.15983.1.1.3.1.1.1.4' - Node ID '.1.3.6.1.4.1.15983.1.1.3.1.1.1.3,'80211',.1.3.6.1.4.1.15983.1.1.3.1.1.1.4,mwIf80211StatsRcvFragCount,In Fragment Count,COUNTER32,Number,,.1.3.6.1.4.1.15983.1.1.3.1.1.1.13,
80211 (Meru Wireless),.1.3.6.1.4.1.15983.1.1.3.1.1.1.4' - Node ID '.1.3.6.1.4.1.15983.1.1.3.1.1.1.3,'80211',.1.3.6.1.4.1.15983.1.1.3.1.1.1.4,mwIf80211StatsRxAMPDUCount,In AMPDU Count,COUNTER32,Number,,.1.3.6.1.4.1.15983.1.1.3.1.1.1.17,
80211 (Meru Wireless),.1.3.6.1.4.1.15983.1.1.3.1.1.1.4' - Node ID '.1.3.6.1.4.1.15983.1.1.3.1.1.1.3,'80211',.1.3.6.1.4.1.15983.1.1.3.1.1.1.4,mwIf80211StatsRxAMSDUCount,In AMSDU Count,COUNTER32,Number,,.1.3.6.1.4.1.15983.1.1.3.1.1.1.15,
80211 (Meru Wireless),.1.3.6.1.4.1.15983.1.1.3.1.1.1.4' - Node ID '.1.3.6.1.4.1.15983.1.1.3.1.1.1.3,'80211',.1.3.6.1.4.1.15983.1.1.3.1.1.1.4,mwIf80211StatsRxByteCount,In Byte Count,COUNTER32,Bytes,,.1.3.6.1.4.1.15983.1.1.3.1.1.1.9,
80211 (Meru Wireless),.1.3.6.1.4.1.15983.1.1.3.1.1.1.4' - Node ID '.1.3.6.1.4.1.15983.1.1.3.1.1.1.3,'80211',.1.3.6.1.4.1.15983.1.1.3.1.1.1.4,mwIf80211StatsThroughput,Throughput,GAUGE,Number,,.1.3.6.1.4.1.15983.1.1.3.1.1.1.5,
80211 (Meru Wireless),.1.3.6.1.4.1.15983.1.1.3.1.1.1.4' - Node ID '.1.3.6.1.4.1.15983.1.1.3.1.1.1.3,'80211',.1.3.6.1.4.1.15983.1.1.3.1.1.1.4,mwIf80211StatsTxAMPDUCount,Out AMPDU Count,COUNTER32,Number,,.1.3.6.1.4.1.15983.1.1.3.1.1.1.16,
80211 (Meru Wireless),.1.3.6.1.4.1.15983.1.1.3.1.1.1.4' - Node ID '.1.3.6.1.4.1.15983.1.1.3.1.1.1.3,'80211',.1.3.6.1.4.1.15983.1.1.3.1.1.1.4,mwIf80211StatsTxAMSDUCount,Out AMSDU Count,COUNTER32,Number,,.1.3.6.1.4.1.15983.1.1.3.1.1.1.14,
80211 (Meru Wireless),.1.3.6.1.4.1.15983.1.1.3.1.1.1.4' - Node ID '.1.3.6.1.4.1.15983.1.1.3.1.1.1.3,'80211',.1.3.6.1.4.1.15983.1.1.3.1.1.1.4,mwIf80211StatsTxByteCount,Out Byte Count,COUNTER32,Bytes,,.1.3.6.1.4.1.15983.1.1.3.1.1.1.10,
